,Card Name,Decks,Avg,total copies played,colors,convertedManaCost,manaCost,rarity,types,supertypes,subtypes,power,toughness,text
932,Lotus Bloom,0.016,4,27.648,,0,,rare,Artifact,,,,,"Suspend 3â€”{0} (Rather than cast this card from your hand, pay {0} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
{T}, Sacrifice Lotus Bloom: Add three mana of any one color."
936,Mantis Rider,0.016,4,27.648,"R,U,W",3,{U}{R}{W},rare,Creature,,"Human,Monk",3,3,"Flying, vigilance, haste"
937,Merfolk Branchwalker,0.016,4,27.648,G,2,{1}{G},uncommon,Creature,,"Merfolk,Scout",2,1,"When Merfolk Branchwalker enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
938,Rite of Flame,0.016,4,27.648,R,1,{R},common,Sorcery,,,,,"Add {R}{R}, then add {R} for each card named Rite of Flame in each graveyard."
939,Scrapheap Scrounger,0.016,4,27.648,B,2,{2},rare,"Artifact,Creature",,Construct,3,2,"Scrapheap Scrounger can't block.
{1}{B}, Exile another creature card from your graveyard: Return Scrapheap Scrounger from your graveyard to the battlefield."
941,Search for Tomorrow,0.016,4,27.648,G,3,{2}{G},common,Sorcery,,,,,"Search your library for a basic land card, put it onto the battlefield, then shuffle your library.
Suspend 2â€”{G} (Rather than cast this card from your hand, you may pay {G} and exile it with two time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
946,Shrine of Burning Rage,0.016,4,27.648,R,2,{2},uncommon,Artifact,,,,,"At the beginning of your upkeep or whenever you cast a red spell, put a charge counter on Shrine of Burning Rage.
{3}, {T}, Sacrifice Shrine of Burning Rage: It deals damage equal to the number of charge counters on it to any target."
949,"Sidisi, Brood Tyrant",0.016,4,27.648,"B,G,U",4,{1}{B}{G}{U},mythic,Creature,Legendary,"Naga,Shaman",3,3,"Whenever Sidisi, Brood Tyrant enters the battlefield or attacks, put the top three cards of your library into your graveyard.
Whenever one or more creature cards are put into your graveyard from your library, create a 2/2 black Zombie creature token."
951,Stormblood Berserker,0.016,4,27.648,R,2,{1}{R},uncommon,Creature,,"Human,Berserker",1,1,"Bloodthirst 2 (If an opponent was dealt damage this turn, this creature enters the battlefield with two +1/+1 counters on it.)
Menace (This creature can't be blocked except by two or more creatures.)"
956,Stromkirk Noble,0.016,4,27.648,R,1,{R},rare,Creature,,"Vampire,Noble",1,1,"Stromkirk Noble can't be blocked by Humans.
Whenever Stromkirk Noble deals combat damage to a player, put a +1/+1 counter on it."
957,Dissipate,0.026,2.4,26.9568,U,3,{1}{U}{U},uncommon,Instant,,,,,"Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard."
965,Avacyn's Pilgrim,0.016,3.9,26.9568,G,1,{G},rare,Creature,,"Human,Monk",1,1,{T}: Add {W}.
970,Into the North,0.016,3.9,26.9568,G,2,{1}{G},common,Sorcery,,,,,Search your library for a snow land card and put it onto the battlefield tapped. Then shuffle your library.
971,Skred,0.016,3.9,26.9568,R,1,{R},common,Instant,,,,,Skred deals damage to target creature equal to the number of snow permanents you control.
972,Mortarpod,0.028,2.2,26.6112,,2,{2},uncommon,Artifact,,Equipment,,,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Germ creature token, then attach this to it.)
Equipped creature gets +0/+1 and has ""Sacrifice this creature: This creature deals 1 damage to any target.""
Equip {2}"
976,Fact or Fiction,0.018,3.4,26.4384,U,4,{3}{U},uncommon,Instant,,,,,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.
996,Ultimate Price,0.038,1.6,26.2656,B,2,{1}{B},uncommon,Instant,,,,,Destroy target monocolored creature.
1001,Chandra's Phoenix,0.016,3.8,26.2656,R,3,{1}{R}{R},rare,Creature,,Phoenix,2,2,"Flying
Haste (This creature can attack and {T} as soon as it comes under your control.)
Whenever an opponent is dealt damage by a red instant or sorcery spell you control or by a red planeswalker you control, return Chandra's Phoenix from your graveyard to your hand."
1006,Masked Admirers,0.024,2.5,25.92,G,4,{2}{G}{G},rare,Creature,,"Elf,Shaman",3,2,"When Masked Admirers enters the battlefield, draw a card.
Whenever you cast a creature spell, you may pay {G}{G}. If you do, return Masked Admirers from your graveyard to your hand."
1011,Flametongue Kavu,0.02,3,25.92,R,4,{3}{R},uncommon,Creature,,Kavu,4,2,"When Flametongue Kavu enters the battlefield, it deals 4 damage to target creature."
1031,Molten Disaster,0.028,2.1,25.4016,R,2,{X}{R}{R},rare,Sorcery,,,,,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
If this spell was kicked, it has split second. (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Molten Disaster deals X damage to each creature without flying and each player."
1034,Damnation,0.02,2.9,25.056,B,4,{2}{B}{B},rare,Sorcery,,,,,Destroy all creatures. They can't be regenerated.
1041,Remove Soul,0.02,2.9,25.056,U,2,{1}{U},common,Instant,,,,,Counter target creature spell.
1054,Phyrexian Ironfoot,0.016,3.6,24.8832,,3,{3},uncommon,"Artifact,Creature",Snow,Construct,3,4,"Phyrexian Ironfoot doesn't untap during your untap step.
{1}{S}: Untap Phyrexian Ironfoot. ({S} can be paid with one mana from a snow permanent.)"
1055,Blade Splicer,0.018,3.2,24.8832,W,3,{2}{W},rare,Creature,,"Human,Artificer",1,1,"When Blade Splicer enters the battlefield, create a 3/3 colorless Golem artifact creature token.
Golem creatures you control have first strike."
1057,Vapor Snag,0.018,3.2,24.8832,U,1,{U},common,Instant,,,,,Return target creature to its owner's hand. Its controller loses 1 life.
1061,"Venser, Shaper Savant",0.026,2.2,24.7104,U,4,{2}{U}{U},rare,Creature,Legendary,"Human,Wizard",2,2,"Flash
When Venser, Shaper Savant enters the battlefield, return target spell or permanent to its owner's hand."
1064,Loxodon Warhammer,0.038,1.5,24.624,,3,{3},rare,Artifact,,Equipment,,,"Equipped creature gets +3/+0 and has trample and lifelink.
Equip {3}"
1078,Adanto Vanguard,0.014,4,24.192,W,2,{1}{W},uncommon,Creature,,"Vampire,Soldier",1,1,"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
1080,Bloodbraid Elf,0.014,4,24.192,"G,R",4,{2}{R}{G},uncommon,Creature,,"Elf,Berserker",3,2,"Haste
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)"
1088,Bonecrusher Giant,0.014,4,24.192,R,3,{2}{R},rare,Creature,,Giant,4,3,"Whenever Bonecrusher Giant becomes the target of a spell, Bonecrusher Giant deals 2 damage to that spell's controller."
1093,Collected Company,0.014,4,24.192,G,4,{3}{G},rare,Instant,,,,,Look at the top six cards of your library. Put up to two creature cards with converted mana cost 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in any order.
1094,Crackling Doom,0.014,4,24.192,"B,R,W",3,{R}{W}{B},rare,Instant,,,,,Crackling Doom deals 2 damage to each opponent. Each opponent sacrifices a creature with the greatest power among creatures that player controls.
1099,Dispatch,0.014,4,24.192,W,1,{W},uncommon,Instant,,,,,"Tap target creature.
Metalcraft â€” If you control three or more artifacts, exile that creature."
1102,Dragon Fodder,0.014,4,24.192,R,2,{1}{R},common,Sorcery,,,,,Create two 1/1 red Goblin creature tokens.
1113,Grapeshot,0.014,4,24.192,R,2,{1}{R},common,Sorcery,,,,,"Grapeshot deals 1 damage to any target.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
1117,History of Benalia,0.014,4,24.192,W,3,{1}{W}{W},mythic,Enchantment,,Saga,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II â€” Create a 2/2 white Knight creature token with vigilance.
III â€” Knights you control get +2/+1 until end of turn."
1120,Nightscape Familiar,0.014,4,24.192,B,2,{1}{B},common,Creature,,Zombie,1,1,"Blue spells and red spells you cast cost {1} less to cast.
{1}{B}: Regenerate Nightscape Familiar."
1126,Savannah Lions,0.014,4,24.192,W,1,{W},rare,Creature,,Cat,2,1,
1141,"Teferi, Time Raveler",0.014,4,24.192,"U,W",3,{1}{W}{U},rare,Planeswalker,Legendary,Teferi,,,"Each opponent can cast spells only any time they could cast a sorcery.
[+1]: Until your next turn, you may cast sorcery spells as though they had flash.
[âˆ’3]: Return up to one target artifact, creature, or enchantment to its owner's hand. Draw a card."
1148,Augur of Bolas,0.02,2.8,24.192,U,2,{1}{U},uncommon,Creature,,"Merfolk,Wizard",1,3,"When Augur of Bolas enters the battlefield, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order."
1154,Psionic Blast,0.018,3.1,24.1056,U,3,{2}{U},uncommon,Instant,,,,,Psionic Blast deals 4 damage to any target and 2 damage to you.
1162,Stormbreath Dragon,0.022,2.5,23.76,R,5,{3}{R}{R},mythic,Creature,,Dragon,4,4,"Flying, haste, protection from white
{5}{R}{R}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)
When Stormbreath Dragon becomes monstrous, it deals damage to each opponent equal to the number of cards in that player's hand."
1163,The Scarab God,0.026,2.1,23.5872,"B,U",5,{3}{U}{B},mythic,Creature,Legendary,God,5,5,"At the beginning of your upkeep, each opponent loses X life and you scry X, where X is the number of Zombies you control.
{2}{U}{B}: Exile target creature card from a graveyard. Create a token that's a copy of it, except it's a 4/4 black Zombie.
When The Scarab God dies, return it to its owner's hand at the beginning of the next end step."
1166,Censor,0.014,3.9,23.5872,U,2,{1}{U},uncommon,Instant,,,,,"Counter target spell unless its controller pays {1}.
Cycling {U} ({U}, Discard this card: Draw a card.)"
1167,Giant Growth,0.014,3.9,23.5872,G,1,{G},common,Instant,,,,,Target creature gets +3/+3 until end of turn.
1215,Wren's Run Vanquisher,0.014,3.9,23.5872,G,2,{1}{G},uncommon,Creature,,"Elf,Warrior",3,3,"As an additional cost to cast this spell, reveal an Elf card from your hand or pay {3}.
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)"
1221,Elspeth Tirel,0.024,2.2,22.8096,W,5,{3}{W}{W},mythic,Planeswalker,Legendary,Elspeth,,,"[+2]: You gain 1 life for each creature you control.
[âˆ’2]: Create three 1/1 white Soldier creature tokens.
[âˆ’5]: Destroy all other permanents except for lands and tokens."
1222,Swords to Plowshares,0.016,3.3,22.8096,W,1,{W},uncommon,Instant,,,,,Exile target creature. Its controller gains life equal to its power.
1262,Wildgrowth Walker,0.016,3.3,22.8096,G,2,{1}{G},uncommon,Creature,,Elemental,1,3,"Whenever a creature you control explores, put a +1/+1 counter on Wildgrowth Walker and you gain 3 life."
1263,Decree of Justice,0.02,2.6,22.464,W,4,{X}{X}{2}{W}{W},rare,Sorcery,,,,,"Create X 4/4 white Angel creature tokens with flying.
Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)
When you cycle Decree of Justice, you may pay {X}. If you do, create X 1/1 white Soldier creature tokens."
1277,Grave Titan,0.02,2.6,22.464,B,6,{4}{B}{B},mythic,Creature,,Giant,6,6,"Deathtouch
Whenever Grave Titan enters the battlefield or attacks, create two 2/2 black Zombie creature tokens."
1283,Deafening Clarion,0.014,3.7,22.3776,"R,W",3,{1}{R}{W},rare,Sorcery,,,,,"Choose one or both â€”
â€¢ Deafening Clarion deals 3 damage to each creature.
â€¢ Creatures you control gain lifelink until end of turn."
1286,Etched Champion,0.014,3.7,22.3776,,3,{3},rare,"Artifact,Creature",,Soldier,2,2,Metalcraft â€” Etched Champion has protection from all colors as long as you control three or more artifacts.
1288,Mox Opal,0.014,3.7,22.3776,,0,{0},mythic,Artifact,Legendary,,,,Metalcraft â€” {T}: Add one mana of any color. Activate this ability only if you control three or more artifacts.
1292,Oona's Prowler,0.014,3.7,22.3776,B,2,{1}{B},rare,Creature,,"Faerie,Rogue",3,1,"Flying
Discard a card: Oona's Prowler gets -2/-0 until end of turn. Any player may activate this ability."
1293,Psychatog,0.014,3.7,22.3776,"B,U",3,{1}{U}{B},uncommon,Creature,,Atog,1,2,"Discard a card: Psychatog gets +1/+1 until end of turn.
Exile two cards from your graveyard: Psychatog gets +1/+1 until end of turn."
1298,Ratchet Bomb,0.022,2.3,21.8592,,2,{2},rare,Artifact,,,,,"{T}: Put a charge counter on Ratchet Bomb.
{T}, Sacrifice Ratchet Bomb: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Ratchet Bomb."
1303,"Sorin, Solemn Visitor",0.028,1.8,21.7728,"B,W",4,{2}{W}{B},mythic,Planeswalker,Legendary,Sorin,,,"[+1]: Until your next turn, creatures you control get +1/+0 and gain lifelink.
[âˆ’2]: Create a 2/2 black Vampire creature token with flying.
[âˆ’6]: You get an emblem with ""At the beginning of each opponent's upkeep, that player sacrifices a creature."""
1304,Ojutai's Command,0.024,2.1,21.7728,"U,W",4,{2}{W}{U},rare,Instant,,,,,"Choose two â€”
â€¢ Return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.
â€¢ You gain 4 life.
â€¢ Counter target creature spell.
â€¢ Draw a card."
1308,Sower of Temptation,0.024,2.1,21.7728,U,4,{2}{U}{U},rare,Creature,,"Faerie,Wizard",2,2,"Flying
When Sower of Temptation enters the battlefield, gain control of target creature for as long as Sower of Temptation remains on the battlefield."
1310,Compulsive Research,0.014,3.6,21.7728,U,3,{2}{U},common,Sorcery,,,,,Target player draws three cards. Then that player discards two cards unless they discard a land card.
1317,Dromoka's Command,0.018,2.8,21.7728,"G,W",2,{G}{W},rare,Instant,,,,,"Choose two â€”
â€¢ Prevent all damage target instant or sorcery spell would deal this turn.
â€¢ Target player sacrifices an enchantment.
â€¢ Put a +1/+1 counter on target creature.
â€¢ Target creature you control fights target creature you don't control."
1319,Valorous Stance,0.02,2.5,21.6,W,2,{1}{W},uncommon,Instant,,,,,"Choose one â€”
â€¢ Target creature gains indestructible until end of turn.
â€¢ Destroy target creature with toughness 4 or greater."
1322,Azorius Charm,0.016,3.1,21.4272,"U,W",2,{W}{U},uncommon,Instant,,,,,"Choose one â€”
â€¢ Creatures you control gain lifelink until end of turn.
â€¢ Draw a card.
â€¢ Put target attacking or blocking creature on top of its owner's library."
1326,Galvanic Blast,0.016,3.1,21.4272,R,1,{R},common,Instant,,,,,"Galvanic Blast deals 2 damage to any target.
Metalcraft â€” Galvanic Blast deals 4 damage instead if you control three or more artifacts."
1329,Grim Lavamancer,0.016,3.1,21.4272,R,1,{R},rare,Creature,,"Human,Wizard",1,1,"{R}, {T}, Exile two cards from your graveyard: Grim Lavamancer deals 2 damage to any target."
